"id","code","key","value","description","sequence","attr_1_description","attr_1","attr_2_description","attr_2","attr_3_description","attr_3","attr_4_description","attr_4","attr_5_description","attr_5","remark","created_by","created_at","updated_by","updated_at","is_deleted"
233,"101","36","徳島県","",36,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
234,"101","37","香川県","",37,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
235,"101","38","愛媛県","",38,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
236,"101","39","高知県","",39,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
237,"101","40","福岡県","",40,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
238,"101","41","佐賀県","",41,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
239,"101","42","長崎県","",42,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
240,"101","43","熊本県","",43,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
241,"101","44","大分県","",44,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
242,"101","45","宮崎県","",45,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
243,"101","46","鹿児島県","",46,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
244,"101","47","沖縄県","",47,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
245,"401","1","男性","",2,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
246,"401","2","女性","",1,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
247,"401","3","その他","",3,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
248,"401","9","無回答","",4,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
249,"102","1","免税","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
250,"102","2","非課税","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
251,"102","3","通常税率","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
252,"102","4","軽減税率","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
253,"103","1","内税","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
254,"103","2","外税","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
255,"103","3","非課税","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
256,"104","1","四捨五入","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
257,"104","2","切り上げ","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
258,"104","3","切り捨て","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
259,"105","1","決済","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
260,"105","2","会員情報変更","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
261,"106","1","受注受付","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
262,"106","2","出荷案内","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
263,"106","3","会員登録","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
264,"106","4","メール認証","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
265,"106","5","パスワード変更","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
266,"106","9","問合せ","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
267,"201","1","BAP共通ポイント","",,"","","","","","","","","","","",0,2021/08/27 14:03:51,0,2021/08/27 14:03:51,0
